nafn,start_time,percent_completed,est_finish_time,started,finished,upphaf,fjoldi,id
5VH Trail Run 2021 - 5VH Trail Run - Heildarúrslit,09:00,100,16:00,100,100,2024-09-30 09:00:00,100,43
Tour de Ormurinn 2021 - 68 km - Heildarúrslit,09:00,100,15:00,41,41,2024-09-30 09:00:00,41,44
Tour de Ormurinn 2021 - 68 km (Liðakeppni) - Heildarúrslit,09:00,100,15:00,2,2,2024-09-30 09:00:00,2,45
Tour de Ormurinn 2021 - 103 KM - Heildarúrslit,09:00,100,15:00,5,5,2024-09-30 09:00:00,5,46
5VH Trail Run 2021 - 5VH Trail Run - Heildarúrslit,09:00,100,16:00,100,100,2024-09-30 09:00:00,100,47
Trékyllisheiðin 2021 - Lengra hlaupið (47 km) - Heildarúrslit / Overall,10:00,100,18:00,18,18,2024-09-30 10:00:00,18,48
"Trékyllisheiðin 2021 - Styttra hlaupið (16,5 km) - Heildarúrslit / Overall",13:00,100,16:00,41,41,2024-09-30 13:00:00,41,49
Enduro Ísafjörður - Enduró Ísafjörður - Karlar  | 18A |15 ára og eldri,11:00,100,17:00,15,15,2024-09-30 11:00:00,15,50
Enduro Ísafjörður - Enduró Ísafjörður - Konur  | 18A |15 ára og eldri,11:00,100,17:00,4,4,2024-09-30 11:00:00,4,51
Enduro Ísafjörður - Enduró Ísafjörður - Karlar  | RAF |15 ára og eldri,11:00,100,17:00,3,3,2024-09-30 11:00:00,3,52
Enduro Ísafjörður - Enduró Ísafjörður - Karlar  | 18B |15 ára og eldri,11:00,100,17:00,2,2,2024-09-30 11:00:00,2,53
Enduro Ísafjörður - Enduró Ísafjörður - Konur  | 18B |15 ára og eldri,11:00,100,17:00,6,6,2024-09-30 11:00:00,6,54
Enduro Ísafjörður - Enduró Ísafjörður - Karlar  | MAS |35 ára og eldri,11:00,100,17:00,12,12,2024-09-30 11:00:00,12,55
Enduro Ísafjörður - Enduró Ísafjörður - Konur  | MAS |35 ára og eldri,11:00,100,17:00,5,5,2024-09-30 11:00:00,5,56
Tímataka Víkings 2021 - 24 KM - Heildarúrslit,19:00,98,21:00,43,42,2024-09-30 19:00:00,43,57
Vatnsmýrarhlaupið 2021 - 5 KM hlaup - Heildarúrslit / Overall,20:00,100,21:00,107,107,2024-09-30 20:00:00,107,58
"Morgunblaðshringurinn 2021 - Morgunblaðshringurinn
 - XCO - Karlar  | ELI |18 ára og eldri",18:00,100,21:00,10,10,2024-09-30 18:00:00,10,59
"Morgunblaðshringurinn 2021 - Morgunblaðshringurinn
 - XCO - Konur  | ELI |18 ára og eldri",18:00,100,21:00,3,3,2024-09-30 18:00:00,3,60
"Morgunblaðshringurinn 2021 - Morgunblaðshringurinn
 - XCO - Karlar  | JUN |17 ára til 18 ára",18:00,100,21:00,1,1,2024-09-30 18:00:00,1,61
"Morgunblaðshringurinn 2021 - Morgunblaðshringurinn
 - XCO - Konur  | JUN |17 ára til 18 ára",18:00,100,21:00,2,2,2024-09-30 18:00:00,2,62
"Morgunblaðshringurinn 2021 - Morgunblaðshringurinn
 - XCO - Karlar  | U17 |15 ára til 16 ára",18:00,100,21:00,1,1,2024-09-30 18:00:00,1,63
"Morgunblaðshringurinn 2021 - Morgunblaðshringurinn
 - XCO - Karlar  | U15 |13 ára til 14 ára",18:00,100,21:00,2,2,2024-09-30 18:00:00,2,64
"Morgunblaðshringurinn 2021 - Morgunblaðshringurinn
 - XCO - Karlar  | U13 |10 ára til 12 ára",18:00,100,21:00,2,2,2024-09-30 18:00:00,2,65
"Morgunblaðshringurinn 2021 - Morgunblaðshringurinn
 - XCO - Konur  | MAS |35 ára og eldri",18:00,100,21:00,6,6,2024-09-30 18:00:00,6,66
"Morgunblaðshringurinn 2021 - Morgunblaðshringurinn
 - XCO - Karlar  | MAS |35 ára og eldri",18:00,100,21:00,12,12,2024-09-30 18:00:00,12,67
"Morgunblaðshringurinn 2021 - Morgunblaðshringurinn
 - XCO - Karlar  | AFL |8 ára og eldri",18:00,100,21:00,3,3,2024-09-30 18:00:00,3,68
Íslandsmótið í fjallabruni- Skálafell - Skálafell DH - Heildarúrslit,13:00,100,16:00,52,52,2024-09-30 13:00:00,52,69
Austur Ultra 2021 - 10 KM - Heildarúrslit / Overall,14:00,100,18:00,12,12,2024-09-30 14:00:00,12,70
Austur Ultra 2021 - 20 KM - Heildarúrslit / Overall,11:00,99,17:00,66,65,2024-09-30 11:00:00,66,71
Austur Ultra 2021 - 50 KM - Heildarúrslit / Overall,09:00,100,17:00,18,18,2024-09-30 09:00:00,18,72
Criterium bikarmót - 7 - A-Flokkur Kvenna (Elite) - Konur 16 ára og eldri,20:30,0,21:00,3,0,2024-09-30 20:30:00,3,73
Criterium bikarmót - 7 - A-Flokkur Karla (Elite) - Karlar 16 ára og eldri,21:05,0,21:40,13,0,2024-09-30 21:05:00,13,74
Criterium bikarmót - 7 - U13 / U15 / U17 - Karlar 13 ára til 14 ára,19:00,0,21:00,1,0,2024-09-30 19:00:00,1,75
Criterium bikarmót - 7 - U13 / U15 / U17 - Karlar 6 ára til 12 ára,19:00,0,21:00,1,0,2024-09-30 19:00:00,1,76
Criterium bikarmót - 7 - Junior Strákar - Karlar 17 ára til 18 ára,19:20,0,00:00,1,0,2024-09-30 19:20:00,1,77
Criterium bikarmót - 7 - Master Karla - Karlar 40 ára til 49 ára,19:20,0,20:00,1,0,2024-09-30 19:20:00,1,78
Criterium bikarmót - 7 - Master Karla - Karlar 50 ára til 59 ára,19:20,0,20:00,1,0,2024-09-30 19:20:00,1,79
Criterium bikarmót - 7 - Master Kvenna - Konur 40 ára til 49 ára,19:55,0,20:30,3,0,2024-09-30 19:55:00,3,80
Criterium bikarmót - 7 - B-flokkur Karla (RR) - Karlar 99 ára og yngri,19:20,0,20:00,2,0,2024-09-30 19:20:00,2,81
Tímataka Bjarts 2021 - Krísuvík - Heildarúrslit,19:00,100,21:00,22,22,2024-09-30 19:00:00,22,82
